Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS006_Web and API flow,Chrome 148.0.7778.97,,,12-05-2026 15:19:36,12-05-2026 15:19:51,14.795s,PASSED
,,,,,,,
Test Cases/API/Fake Store API/TC001_Obtain JWT tokens,Chrome 148.0.7778.97,https://fakeapi.platzi.com/en/rest/auth-jwt/,GenAI,12-05-2026 15:19:36,12-05-2026 15:19:41,5.414s,PASSED
"response = sendRequest(findTestObject(""API/OR_Fake Store API/Auth with JWT"", [""loc_Email"":""john@mail.com"", ""loc_Password"":""changeme""]))",Chrome 148.0.7778.97,,,12-05-2026 15:19:36,12-05-2026 15:19:41,4.685s,PASSED
"verifyResponseStatusCode(response, 201)",Chrome 148.0.7778.97,,,12-05-2026 15:19:41,12-05-2026 15:19:41,0.022s,PASSED
"access_token = getElementPropertyValue(response, ""access_token"")",Chrome 148.0.7778.97,,,12-05-2026 15:19:41,12-05-2026 15:19:41,0.070s,PASSED
"println(""Token: "" + access_token)",Chrome 148.0.7778.97,,,12-05-2026 15:19:41,12-05-2026 15:19:41,0.008s,PASSED
G_ACCESS_TOKEN = access_token,Chrome 148.0.7778.97,,,12-05-2026 15:19:41,12-05-2026 15:19:41,0.107s,PASSED
"refresh_token = getElementPropertyValue(response, ""refresh_token"")",Chrome 148.0.7778.97,,,12-05-2026 15:19:41,12-05-2026 15:19:41,0.032s,PASSED
"println(""Refresh Token: "" + refresh_token)",Chrome 148.0.7778.97,,,12-05-2026 15:19:41,12-05-2026 15:19:41,0.004s,PASSED
G_REFRESH_TOKEN = refresh_token,Chrome 148.0.7778.97,,,12-05-2026 15:19:41,12-05-2026 15:19:41,0.001s,PASSED
,,,,,,,
Test Cases/OrangeHRM/TC004-Orange HRM Search - For API,Chrome 148.0.7778.97,,,12-05-2026 15:19:41,12-05-2026 15:19:51,9.168s,PASSED
"DATA BINDING - {""(Default) Appli..."":""https://orange.katalon.com/web/index.php/auth/login"",""(Default) Login..."":""********""}",,,,,,,
"openBrowser("""")",Chrome 148.0.7778.97,,,12-05-2026 15:19:42,12-05-2026 15:19:45,3.309s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 148.0.7778.97,,,12-05-2026 15:19:45,12-05-2026 15:19:45,0.406s,PASSED
"navigateToUrl(""https://orange.katalon.com/web/index.php/auth/login"")",Chrome 148.0.7778.97,,,12-05-2026 15:19:45,12-05-2026 15:19:47,2.194s,PASSED
comment(G_CureUsername),Chrome 148.0.7778.97,,,12-05-2026 15:19:47,12-05-2026 15:19:47,0.032s,PASSED
"setText(findTestObject(""OrangeHRM/Page_OrangeHRM/input_Username""), G_ACCESS_TOKEN)",Chrome 148.0.7778.97,,,12-05-2026 15:19:47,12-05-2026 15:19:49,1.332s,PASSED
comment(G_CurePassword),Chrome 148.0.7778.97,,,12-05-2026 15:19:49,12-05-2026 15:19:49,0.006s,PASSED
"setText(findTestObject(""OrangeHRM/Page_OrangeHRM/input_Password""), G_REFRESH_TOKEN)",Chrome 148.0.7778.97,,,12-05-2026 15:19:49,12-05-2026 15:19:50,0.744s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/button_Login""))",Chrome 148.0.7778.97,,,12-05-2026 15:19:50,12-05-2026 15:19:50,0.859s,PASSED
closeBrowser(),Chrome 148.0.7778.97,,,12-05-2026 15:19:50,12-05-2026 15:19:51,0.146s,PASSED
